TV专用,#genre#
CCTV-1 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1 综合,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-2 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-2 财经,http://58.220.219.14:9901/tsfile/live/0002_1.m3u8
CCTV-3 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3 综艺,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000013682/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000013682
CCTV-4 中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+ 体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6 电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-6 电影,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8 
CCTV-7 国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8 电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226565/index.m3u8
CCTV-12 社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226476/index.m3u8
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-1 综合,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-2 财经,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-3 综艺,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-4 中文国际,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV-5 体育,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV-5+ 体育赛事,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-6 电影,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV-7 国防军事,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV-8 电视剧,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV-9 纪录,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV-10 科教,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV-11 戏曲,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12 社会与法,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV-13 新闻,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14 少儿,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV-15 音乐,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV-16 奥林匹克,http://112.103.140.109:9003/hls/16/index.m3u8
CCTV-17 农业农村,http://z.b.bkpcp.top/m.php?id=cctv17
纯享4K,http://php.jdshipin.com/itv6.php?cid=ystenlive&id=1000000004000011651
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
CHC影迷电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcymdy
CHC动作电影,http://php.jdshipin.com/TVOD/iptv.php?id=chcdzdy
CHC家庭影院,http://php.jdshipin.com/TVOD/iptv.php?id=chcjtyy
